Timestamp,Operation,ResponseTime(ms),Success
1783156121932,REGISTER_PATIENT,109,true
1783156122037,REGISTER_PATIENT,105,true
1783156122144,REGISTER_PATIENT,106,true
1783156122282,REGISTER_PATIENT,137,true
1783156122424,REGISTER_PATIENT,141,true
1783156122562,REGISTER_PATIENT,138,true
1783156122693,REGISTER_PATIENT,131,true
1783156122809,REGISTER_PATIENT,115,true
1783156122926,REGISTER_PATIENT,116,true
1783156123036,REGISTER_PATIENT,109,true
1783156123149,REGISTER_PATIENT,113,true
1783156123263,REGISTER_PATIENT,114,true
1783156123371,REGISTER_PATIENT,107,true
1783156123486,REGISTER_PATIENT,115,true
1783156123591,REGISTER_PATIENT,105,true
1783156123696,REGISTER_PATIENT,104,true
1783156123801,REGISTER_PATIENT,104,true
1783156123914,REGISTER_PATIENT,112,true
1783156124030,REGISTER_PATIENT,116,true
1783156124146,REGISTER_PATIENT,115,true
1783156124255,REGISTER_PATIENT,108,true
1783156124387,REGISTER_PATIENT,132,true
1783156124538,REGISTER_PATIENT,151,true
1783156124687,REGISTER_PATIENT,148,true
1783156124808,REGISTER_PATIENT,120,true
1783156124924,REGISTER_PATIENT,115,true
1783156125039,REGISTER_PATIENT,114,true
1783156125151,REGISTER_PATIENT,111,true
1783156125261,REGISTER_PATIENT,110,true
1783156125367,REGISTER_PATIENT,106,true
1783156125474,REGISTER_PATIENT,106,true
1783156125582,REGISTER_PATIENT,107,true
1783156125694,REGISTER_PATIENT,111,true
1783156125800,REGISTER_PATIENT,106,true
1783156125904,REGISTER_PATIENT,103,true
1783156126011,REGISTER_PATIENT,106,true
1783156126116,REGISTER_PATIENT,105,true
1783156126222,REGISTER_PATIENT,105,true
1783156126329,REGISTER_PATIENT,106,true
1783156126456,REGISTER_PATIENT,127,true
1783156126611,REGISTER_PATIENT,154,true
1783156126752,REGISTER_PATIENT,140,true
1783156126865,REGISTER_PATIENT,112,true
1783156126984,REGISTER_PATIENT,119,true
1783156127106,REGISTER_PATIENT,122,true
1783156127220,REGISTER_PATIENT,113,true
1783156127333,REGISTER_PATIENT,112,true
1783156127444,REGISTER_PATIENT,110,true
1783156127549,REGISTER_PATIENT,105,true
1783156127667,REGISTER_PATIENT,117,true
1783156127783,REGISTER_PATIENT,116,true
1783156127893,REGISTER_PATIENT,109,true
1783156128003,REGISTER_PATIENT,110,true
1783156128115,REGISTER_PATIENT,111,true
1783156128225,REGISTER_PATIENT,109,true
1783156128332,REGISTER_PATIENT,107,true
1783156128438,REGISTER_PATIENT,106,true
1783156128546,REGISTER_PATIENT,107,true
1783156128709,REGISTER_PATIENT,162,true
1783156128852,REGISTER_PATIENT,142,true
1783156128990,REGISTER_PATIENT,138,true
1783156129121,REGISTER_PATIENT,130,true
1783156129274,REGISTER_PATIENT,153,true
1783156129401,REGISTER_PATIENT,126,true
1783156129539,REGISTER_PATIENT,137,true
1783156129667,REGISTER_PATIENT,128,true
1783156129795,REGISTER_PATIENT,127,true
1783156129909,REGISTER_PATIENT,114,true
1783156130022,REGISTER_PATIENT,112,true
1783156130130,REGISTER_PATIENT,107,true
1783156130240,REGISTER_PATIENT,110,true
1783156130348,REGISTER_PATIENT,107,true
1783156130453,REGISTER_PATIENT,105,true
1783156130565,REGISTER_PATIENT,112,true
1783156130716,REGISTER_PATIENT,150,true
1783156130834,REGISTER_PATIENT,118,true
1783156130965,REGISTER_PATIENT,130,true
1783156131118,REGISTER_PATIENT,153,true
1783156131247,REGISTER_PATIENT,128,true
1783156131360,REGISTER_PATIENT,113,true
1783156131477,REGISTER_PATIENT,117,true
1783156131587,REGISTER_PATIENT,109,true
1783156131696,REGISTER_PATIENT,108,true
1783156131813,REGISTER_PATIENT,116,true
1783156131926,REGISTER_PATIENT,112,true
1783156132031,REGISTER_PATIENT,104,true
1783156132143,REGISTER_PATIENT,112,true
1783156132256,REGISTER_PATIENT,113,true
1783156132368,REGISTER_PATIENT,111,true
1783156132491,REGISTER_PATIENT,123,true
1783156132603,REGISTER_PATIENT,111,true
1783156132713,REGISTER_PATIENT,109,true
